system:time_start,ppt
"Oct 1, 2022",0
"Oct 2, 2022",0
"Oct 3, 2022",0
"Oct 4, 2022",0
"Oct 5, 2022",0
"Oct 6, 2022",0
"Oct 7, 2022",0
"Oct 8, 2022",0
"Oct 9, 2022",0
"Oct 10, 2022",0
"Oct 11, 2022",0
"Oct 12, 2022",0.63
"Oct 13, 2022",0
"Oct 14, 2022",0
"Oct 15, 2022",0
"Oct 16, 2022",0
"Oct 17, 2022",0
"Oct 18, 2022",0
"Oct 19, 2022",0
"Oct 20, 2022",0
"Oct 21, 2022",0
"Oct 22, 2022",0.455
"Oct 23, 2022",0
"Oct 24, 2022",0
"Oct 25, 2022",0
"Oct 26, 2022",0
"Oct 27, 2022",0
"Oct 28, 2022",0
"Oct 29, 2022",0
"Oct 30, 2022",0
"Oct 31, 2022",0
"Nov 1, 2022",1.066
"Nov 2, 2022",0.7
"Nov 3, 2022",0.232
"Nov 4, 2022",0
"Nov 5, 2022",0
"Nov 6, 2022",0.994
"Nov 7, 2022",10.724
"Nov 8, 2022",16.65
"Nov 9, 2022",0.235
"Nov 10, 2022",0
"Nov 11, 2022",0
"Nov 12, 2022",0
"Nov 13, 2022",0
"Nov 14, 2022",0
"Nov 15, 2022",0
"Nov 16, 2022",0
"Nov 17, 2022",0
"Nov 18, 2022",0
"Nov 19, 2022",0
"Nov 20, 2022",0
"Nov 21, 2022",0
"Nov 22, 2022",0
"Nov 23, 2022",0
"Nov 24, 2022",0
"Nov 25, 2022",0
"Nov 26, 2022",0
"Nov 27, 2022",0
"Nov 28, 2022",0
"Nov 29, 2022",0
"Nov 30, 2022",0
"Dec 1, 2022",2.514
"Dec 2, 2022",3.502
"Dec 3, 2022",0.25
"Dec 4, 2022",1.469
"Dec 5, 2022",0.195
"Dec 6, 2022",0
"Dec 7, 2022",0
"Dec 8, 2022",0
"Dec 9, 2022",0
"Dec 10, 2022",22.958
"Dec 11, 2022",6.898
"Dec 12, 2022",0.963
"Dec 13, 2022",0
"Dec 14, 2022",0
"Dec 15, 2022",0
"Dec 16, 2022",0
"Dec 17, 2022",0
"Dec 18, 2022",0
"Dec 19, 2022",0
"Dec 20, 2022",0
"Dec 21, 2022",0
"Dec 22, 2022",0
"Dec 23, 2022",0
"Dec 24, 2022",0
"Dec 25, 2022",0
"Dec 26, 2022",0
"Dec 27, 2022",12.157
"Dec 28, 2022",0.001
"Dec 29, 2022",0.824
"Dec 30, 2022",3.183
"Dec 31, 2022",34.006
"Jan 1, 2023",2.311
"Jan 2, 2023",2.662
"Jan 3, 2023",0.733
"Jan 4, 2023",18.376
"Jan 5, 2023",13.484
"Jan 6, 2023",0
"Jan 7, 2023",0.013
"Jan 8, 2023",4.207
"Jan 9, 2023",63.943
"Jan 10, 2023",8.244
"Jan 11, 2023",0.218
"Jan 12, 2023",0.005
"Jan 13, 2023",0.089
"Jan 14, 2023",15
"Jan 15, 2023",9.59
"Jan 16, 2023",2.789
"Jan 17, 2023",0.059
"Jan 18, 2023",0.016
"Jan 19, 2023",0.283
"Jan 20, 2023",0
"Jan 21, 2023",0
"Jan 22, 2023",0
"Jan 23, 2023",0
"Jan 24, 2023",0
"Jan 25, 2023",0
"Jan 26, 2023",0
"Jan 27, 2023",0
"Jan 28, 2023",0
"Jan 29, 2023",2.012
"Jan 30, 2023",1.582
"Jan 31, 2023",0
"Feb 1, 2023",0
"Feb 2, 2023",0
"Feb 3, 2023",0
"Feb 4, 2023",0.593
"Feb 5, 2023",1.307
"Feb 6, 2023",0
"Feb 7, 2023",0
"Feb 8, 2023",0
"Feb 9, 2023",0
"Feb 10, 2023",0
