system:time_start,soil_moisture_am
"Oct 1, 2022",0.07
"Oct 2, 2022",0.076
"Oct 3, 2022",
"Oct 4, 2022",0.078
"Oct 5, 2022",0.097
"Oct 6, 2022",
"Oct 7, 2022",0.077
"Oct 8, 2022",
"Oct 9, 2022",
"Oct 10, 2022",0.077
"Oct 11, 2022",
"Oct 12, 2022",0.088
"Oct 13, 2022",0.104
"Oct 14, 2022",
"Oct 15, 2022",0.08
"Oct 16, 2022",
"Oct 17, 2022",
"Oct 18, 2022",0.075
"Oct 19, 2022",
"Oct 20, 2022",0.075
"Oct 21, 2022",0.1
"Oct 22, 2022",
"Oct 23, 2022",0.093
"Oct 24, 2022",
"Oct 25, 2022",0.063
"Oct 26, 2022",0.068
"Oct 27, 2022",
"Oct 28, 2022",0.065
"Oct 29, 2022",0.078
"Oct 30, 2022",
"Oct 31, 2022",0.07
"Nov 1, 2022",
"Nov 2, 2022",0.114
"Nov 3, 2022",0.169
"Nov 4, 2022",
"Nov 5, 2022",0.101
"Nov 6, 2022",0.152
"Nov 7, 2022",
"Nov 8, 2022",0.365
"Nov 9, 2022",
"Nov 10, 2022",0.161
"Nov 11, 2022",0.186
"Nov 12, 2022",
"Nov 13, 2022",0.162
"Nov 14, 2022",
"Nov 15, 2022",
"Nov 16, 2022",
"Nov 18, 2022",
"Nov 19, 2022",0.118
"Nov 20, 2022",
"Nov 21, 2022",0.101
"Nov 22, 2022",0.142
"Nov 23, 2022",
"Nov 24, 2022",0.093
"Nov 25, 2022",
"Nov 26, 2022",0.078
"Nov 27, 2022",0.087
"Nov 28, 2022",
"Nov 29, 2022",0.086
"Nov 30, 2022",0.117
"Dec 1, 2022",
"Dec 2, 2022",
"Dec 3, 2022",
"Dec 4, 2022",0.097
"Dec 5, 2022",0.164
"Dec 6, 2022",
"Dec 7, 2022",0.142
"Dec 8, 2022",0.18
"Dec 9, 2022",
"Dec 10, 2022",0.12
"Dec 11, 2022",
"Dec 12, 2022",
"Dec 13, 2022",0.205
"Dec 14, 2022",
"Dec 15, 2022",0.171
"Dec 16, 2022",0.197
"Dec 17, 2022",
"Dec 18, 2022",0.143
"Dec 19, 2022",
"Dec 20, 2022",
"Dec 21, 2022",0.138
"Dec 22, 2022",
"Dec 23, 2022",0.134
"Dec 24, 2022",0.159
"Dec 25, 2022",
"Dec 26, 2022",0.127
"Dec 27, 2022",
"Dec 28, 2022",
"Dec 29, 2022",0.193
"Dec 30, 2022",
"Dec 31, 2022",0.209
"Jan 1, 2023",0.369
"Jan 2, 2023",
"Jan 3, 2023",0.267
"Jan 4, 2023",
"Jan 5, 2023",0.242
"Jan 6, 2023",
"Jan 7, 2023",
"Jan 8, 2023",0.26
"Jan 9, 2023",0.264
"Jan 10, 2023",
"Jan 11, 2023",0.319
"Jan 12, 2023",
"Jan 13, 2023",0.257
"Jan 14, 2023",0.26
"Jan 15, 2023",
"Jan 16, 2023",0.313
"Jan 17, 2023",
"Jan 18, 2023",
"Jan 19, 2023",0.213
"Jan 20, 2023",
"Jan 21, 2023",0.125
"Jan 22, 2023",0.181
"Jan 23, 2023",
"Jan 24, 2023",0.157
"Jan 25, 2023",0.2
"Jan 26, 2023",
"Jan 27, 2023",0.148
"Jan 28, 2023",
"Jan 29, 2023",0.113
"Jan 30, 2023",0.246
"Jan 31, 2023",
"Feb 1, 2023",0.145
"Feb 2, 2023",0.217
"Feb 3, 2023",
"Feb 4, 2023",0.154
"Feb 5, 2023",
"Feb 6, 2023",0.098
"Feb 7, 2023",
"Feb 8, 2023",
"Feb 9, 2023",0.139
"Feb 10, 2023",0.193
"Feb 11, 2023",
"Feb 12, 2023",0.125
"Feb 13, 2023",
"Feb 14, 2023",0.085
"Feb 15, 2023",
"Feb 16, 2023",
"Feb 17, 2023",0.105
"Feb 18, 2023",0.146
"Feb 19, 2023",
"Feb 20, 2023",0.104
"Feb 21, 2023",
"Feb 22, 2023",0.094
"Feb 23, 2023",0.111
"Feb 24, 2023",
"Feb 25, 2023",
"Feb 26, 2023",0.31
"Feb 27, 2023",
"Mar 1, 2023",
"Mar 2, 2023",0.136
"Mar 3, 2023",0.222
"Mar 4, 2023",
"Mar 5, 2023",0.199
"Mar 6, 2023",0.266
"Mar 7, 2023",
"Mar 8, 2023",0.179
"Mar 9, 2023",
"Mar 10, 2023",0.104
"Mar 11, 2023",0.263
"Mar 12, 2023",
"Mar 13, 2023",0.215
"Mar 14, 2023",0.228
"Mar 15, 2023",
"Mar 16, 2023",0.258
"Mar 17, 2023",
"Mar 18, 2023",
"Mar 19, 2023",0.254
"Mar 20, 2023",
"Mar 21, 2023",0.295
"Mar 22, 2023",0.291
"Mar 23, 2023",
"Mar 24, 2023",0.245
"Mar 25, 2023",
"Mar 26, 2023",
"Mar 27, 2023",0.172
"Mar 28, 2023",
"Mar 29, 2023",0.288
"Mar 30, 2023",0.255
"Mar 31, 2023",
"Apr 1, 2023",0.185
"Apr 2, 2023",
"Apr 3, 2023",0.093
"Apr 4, 2023",0.149
"Apr 5, 2023",
"Apr 6, 2023",0.139
"Apr 7, 2023",0.165
"Apr 8, 2023",
