system:time_start,poppyAreaSqKm
"Oct 3, 2023",0.813
"Oct 5, 2023",3.899
"Oct 8, 2023",1.694
"Oct 10, 2023",4.667
"Oct 18, 2023",0.493
"Oct 20, 2023",5.855
"Oct 28, 2023",0.503
"Nov 2, 2023",0.128
"Nov 9, 2023",2.412
"Nov 12, 2023",0.14
"Nov 14, 2023",1.834
"Nov 19, 2023",1.305
"Nov 22, 2023",0.033
"Nov 24, 2023",0.313
"Dec 2, 2023",0.058
"Dec 9, 2023",0.851
"Dec 12, 2023",0.05
"Dec 14, 2023",0.342
"Jan 1, 2024",0.009
"Jan 3, 2024",0.074
"Jan 8, 2024",0.433
"Jan 11, 2024",0.326
"Jan 13, 2024",0.129
"Jan 18, 2024",0.129
"Jan 26, 2024",0.001
"Jan 28, 2024",0.058
"Feb 2, 2024",0.14
"Feb 10, 2024",0.143
"Feb 12, 2024",0.38
"Feb 22, 2024",0.141
"Mar 8, 2024",0.571
"Mar 11, 2024",0.025
"Mar 16, 2024",0.019
"Mar 18, 2024",0.788
"Mar 21, 2024",0.047
"Mar 26, 2024",0.082
"Apr 2, 2024",2.271
"Apr 7, 2024",5.614
"Apr 10, 2024",0.572
"Apr 12, 2024",2.357
"Apr 20, 2024",0.083
"Apr 22, 2024",2.258
"Apr 27, 2024",3.147
"Apr 30, 2024",0.373
"May 2, 2024",2.616
"May 7, 2024",2.978
"May 10, 2024",0.783
"May 12, 2024",2.01
"May 15, 2024",0.487
"May 17, 2024",3.583
"May 22, 2024",2.635
"May 25, 2024",0.587
"May 27, 2024",3.24
"May 30, 2024",0.851
