system:time_start,tmax
"Oct 1, 2023",15.503
"Oct 2, 2023",19.946
"Oct 3, 2023",23.834
"Oct 4, 2023",26.358
"Oct 5, 2023",28.606
"Oct 6, 2023",30.159
"Oct 7, 2023",30.95
"Oct 8, 2023",30.99
"Oct 9, 2023",28.752
"Oct 10, 2023",22.223
"Oct 11, 2023",15.793
"Oct 12, 2023",21.198
"Oct 13, 2023",23.044
"Oct 14, 2023",25.375
"Oct 15, 2023",26.937
"Oct 16, 2023",30.094
"Oct 17, 2023",28.922
"Oct 18, 2023",30.268
"Oct 19, 2023",31.365
"Oct 20, 2023",31.584
"Oct 21, 2023",27.48
"Oct 22, 2023",20.977
"Oct 23, 2023",19.27
"Oct 24, 2023",24.67
"Oct 25, 2023",17.945
"Oct 26, 2023",18.177
"Oct 27, 2023",18.975
"Oct 28, 2023",17.16
"Oct 29, 2023",16.154
"Oct 30, 2023",17.244
"Oct 31, 2023",20.496
"Nov 1, 2023",21.472
"Nov 2, 2023",23.005
"Nov 3, 2023",23.972
"Nov 4, 2023",25.502
"Nov 5, 2023",26.228
"Nov 6, 2023",22.083
"Nov 7, 2023",13.254
"Nov 8, 2023",16.502
"Nov 9, 2023",16.764
"Nov 10, 2023",16.911
"Nov 11, 2023",18.984
"Nov 12, 2023",19.59
"Nov 13, 2023",19.07
"Nov 14, 2023",19.796
"Nov 15, 2023",15.282
"Nov 16, 2023",16.124
"Nov 17, 2023",16.579
"Nov 18, 2023",14.204
"Nov 19, 2023",11.736
"Nov 20, 2023",14.589
"Nov 21, 2023",16.537
"Nov 22, 2023",17.33
"Nov 23, 2023",19.384
"Nov 24, 2023",13.605
"Nov 25, 2023",10.932
"Nov 26, 2023",10.035
"Nov 27, 2023",12.57
"Nov 28, 2023",14.03
"Nov 29, 2023",13.034
"Nov 30, 2023",11.384
"Dec 1, 2023",9.624
"Dec 2, 2023",15.29
"Dec 3, 2023",17.055
"Dec 4, 2023",17.478
"Dec 5, 2023",19.129
"Dec 6, 2023",20.924
"Dec 7, 2023",10.485
"Dec 8, 2023",12.623
"Dec 9, 2023",11.269
"Dec 10, 2023",13.415
"Dec 11, 2023",17.584
"Dec 12, 2023",16.474
"Dec 13, 2023",13.29
"Dec 14, 2023",14.441
"Dec 15, 2023",15.346
"Dec 16, 2023",16.529
"Dec 17, 2023",15.811
"Dec 18, 2023",17.049
"Dec 19, 2023",13.404
"Dec 20, 2023",11.752
"Dec 21, 2023",11.883
"Dec 22, 2023",10.416
"Dec 23, 2023",14.625
"Dec 24, 2023",12.865
"Dec 25, 2023",14.405
"Dec 26, 2023",15.757
"Dec 27, 2023",15.323
"Dec 28, 2023",14.741
"Dec 29, 2023",13.583
"Dec 30, 2023",9.973
"Dec 31, 2023",8.906
"Jan 1, 2024",11.067
"Jan 2, 2024",13.756
"Jan 3, 2024",7.833
"Jan 4, 2024",8.165
"Jan 5, 2024",11.942
"Jan 6, 2024",12.567
"Jan 7, 2024",3.416
"Jan 8, 2024",7.074
"Jan 9, 2024",13.293
"Jan 10, 2024",8.046
"Jan 11, 2024",6.885
"Jan 12, 2024",13.214
"Jan 13, 2024",15.426
"Jan 14, 2024",12.852
"Jan 15, 2024",13.807
"Jan 16, 2024",17.055
"Jan 17, 2024",14.738
"Jan 18, 2024",14.566
"Jan 19, 2024",13.75
"Jan 20, 2024",10.501
"Jan 21, 2024",11.929
"Jan 22, 2024",10.315
"Jan 23, 2024",11.776
"Jan 24, 2024",12.182
"Jan 25, 2024",11.915
"Jan 26, 2024",13.976
"Jan 27, 2024",15.863
"Jan 28, 2024",18.988
"Jan 29, 2024",19.383
"Jan 30, 2024",18.046
"Jan 31, 2024",16.51
"Feb 1, 2024",8.548
"Feb 2, 2024",9.304
"Feb 3, 2024",9.311
"Feb 4, 2024",8.757
"Feb 5, 2024",8.701
"Feb 6, 2024",7.429
"Feb 7, 2024",8.145
"Feb 8, 2024",6.822
"Feb 9, 2024",7.937
"Feb 10, 2024",10.067
"Feb 11, 2024",11.29
"Feb 12, 2024",13.541
"Feb 13, 2024",14.904
"Feb 14, 2024",13.256
"Feb 15, 2024",13.663
"Feb 16, 2024",15.08
"Feb 17, 2024",16.255
"Feb 18, 2024",12.787
"Feb 19, 2024",11.271
"Feb 20, 2024",10.813
"Feb 21, 2024",12.02
"Feb 22, 2024",14.043
"Feb 23, 2024",15.939
"Feb 24, 2024",16.532
"Feb 25, 2024",17.29
"Feb 26, 2024",13.905
"Feb 27, 2024",14.295
"Feb 28, 2024",17.977
"Feb 29, 2024",12.458
"Mar 1, 2024",10.672
"Mar 2, 2024",9.893
"Mar 3, 2024",8.985
"Mar 4, 2024",10.214
"Mar 5, 2024",16.12
"Mar 6, 2024",10.424
"Mar 7, 2024",10.6
"Mar 8, 2024",15.284
"Mar 9, 2024",17.388
"Mar 10, 2024",15.693
"Mar 11, 2024",14.044
"Mar 12, 2024",14.902
"Mar 13, 2024",11.16
"Mar 14, 2024",13.103
"Mar 15, 2024",12.712
"Mar 16, 2024",14.842
"Mar 17, 2024",16.96
"Mar 18, 2024",18.869
"Mar 19, 2024",20.411
"Mar 20, 2024",20.259
"Mar 21, 2024",18.919
"Mar 22, 2024",18.592
"Mar 23, 2024",11.32
"Mar 24, 2024",8.795
"Mar 25, 2024",11.716
"Mar 26, 2024",14.516
"Mar 27, 2024",18.072
"Mar 28, 2024",14.733
"Mar 29, 2024",10.799
"Mar 30, 2024",7.784
"Mar 31, 2024",11.189
"Apr 1, 2024",15.444
"Apr 2, 2024",20.338
"Apr 3, 2024",20.379
"Apr 4, 2024",10.071
"Apr 5, 2024",6.513
"Apr 6, 2024",12.296
"Apr 7, 2024",12.946
"Apr 8, 2024",16.216
"Apr 9, 2024",20.305
"Apr 10, 2024",24.642
"Apr 11, 2024",25.894
"Apr 12, 2024",20.176
"Apr 13, 2024",10.985
"Apr 14, 2024",8.836
"Apr 15, 2024",15.564
"Apr 16, 2024",23.473
"Apr 17, 2024",24.996
"Apr 18, 2024",23.397
"Apr 19, 2024",21.988
"Apr 20, 2024",25.662
"Apr 21, 2024",28.838
"Apr 22, 2024",24.789
"Apr 23, 2024",17.088
"Apr 24, 2024",16.578
"Apr 25, 2024",13.836
"Apr 26, 2024",14.351
"Apr 27, 2024",17.807
"Apr 28, 2024",21.093
"Apr 29, 2024",20.947
"Apr 30, 2024",23.04
"May 1, 2024",21.17
"May 2, 2024",23.353
"May 3, 2024",22.583
"May 4, 2024",14.884
"May 5, 2024",10.684
"May 6, 2024",19.991
"May 7, 2024",20.752
"May 8, 2024",22.155
"May 9, 2024",22.923
"May 10, 2024",24.585
"May 11, 2024",25.851
"May 12, 2024",27.626
"May 13, 2024",26.468
"May 14, 2024",25.924
"May 15, 2024",27.487
"May 16, 2024",28.487
"May 17, 2024",25.015
"May 18, 2024",22.336
"May 19, 2024",24.382
"May 20, 2024",18.953
"May 21, 2024",25.182
"May 22, 2024",24.159
"May 23, 2024",22.75
"May 24, 2024",17.159
"May 25, 2024",19.616
"May 26, 2024",23.523
"May 27, 2024",25.805
"May 28, 2024",27.161
"May 29, 2024",28.436
"May 30, 2024",30.672
"May 31, 2024",29.355
