system:time_start,ppt
"Oct 1, 2023",0
"Oct 2, 2023",0
"Oct 3, 2023",0
"Oct 4, 2023",0
"Oct 5, 2023",0
"Oct 6, 2023",0
"Oct 7, 2023",0
"Oct 8, 2023",0
"Oct 9, 2023",0
"Oct 10, 2023",0
"Oct 11, 2023",0
"Oct 12, 2023",0
"Oct 13, 2023",0
"Oct 14, 2023",0
"Oct 15, 2023",0
"Oct 16, 2023",0
"Oct 17, 2023",0
"Oct 18, 2023",0
"Oct 19, 2023",0
"Oct 20, 2023",0
"Oct 21, 2023",0
"Oct 22, 2023",0
"Oct 23, 2023",0
"Oct 24, 2023",0
"Oct 25, 2023",0.049
"Oct 26, 2023",0
"Oct 27, 2023",0
"Oct 28, 2023",0
"Oct 29, 2023",0
"Oct 30, 2023",0
"Oct 31, 2023",0
"Nov 1, 2023",0
"Nov 2, 2023",0
"Nov 3, 2023",0
"Nov 4, 2023",0
"Nov 5, 2023",0
"Nov 6, 2023",0
"Nov 7, 2023",0.006
"Nov 8, 2023",0
"Nov 9, 2023",0
"Nov 10, 2023",0
"Nov 11, 2023",0
"Nov 12, 2023",0
"Nov 13, 2023",0
"Nov 14, 2023",0
"Nov 15, 2023",6.971
"Nov 16, 2023",0.692
"Nov 17, 2023",2.017
"Nov 18, 2023",0.901
"Nov 19, 2023",0.027
"Nov 20, 2023",0
"Nov 21, 2023",0
"Nov 22, 2023",0
"Nov 23, 2023",0
"Nov 24, 2023",0
"Nov 25, 2023",0
"Nov 26, 2023",0
"Nov 27, 2023",0
"Nov 28, 2023",0
"Nov 29, 2023",0
"Nov 30, 2023",0
"Dec 1, 2023",0
"Dec 2, 2023",0
"Dec 3, 2023",0
"Dec 4, 2023",0
"Dec 5, 2023",0
"Dec 6, 2023",0
"Dec 7, 2023",0
"Dec 8, 2023",0
"Dec 9, 2023",0
"Dec 10, 2023",0
"Dec 11, 2023",0
"Dec 12, 2023",0
"Dec 13, 2023",0
"Dec 14, 2023",0
"Dec 15, 2023",0
"Dec 16, 2023",0
"Dec 17, 2023",0
"Dec 18, 2023",1.614
"Dec 19, 2023",6.579
"Dec 20, 2023",19.36
"Dec 21, 2023",19.966
"Dec 22, 2023",5.317
"Dec 23, 2023",0
"Dec 24, 2023",0
"Dec 25, 2023",0
"Dec 26, 2023",0
"Dec 27, 2023",0
"Dec 28, 2023",0
"Dec 29, 2023",3.587
"Dec 30, 2023",6.052
"Dec 31, 2023",0
"Jan 1, 2024",0.013
"Jan 2, 2024",3.01
"Jan 3, 2024",2.096
"Jan 4, 2024",0
"Jan 5, 2024",0
"Jan 6, 2024",0
"Jan 7, 2024",0
"Jan 8, 2024",0
"Jan 9, 2024",0
"Jan 10, 2024",1.31
"Jan 11, 2024",0.044
"Jan 12, 2024",0
"Jan 13, 2024",0
"Jan 14, 2024",0
"Jan 15, 2024",0
"Jan 16, 2024",0
"Jan 17, 2024",0
"Jan 18, 2024",0
"Jan 19, 2024",0.371
"Jan 20, 2024",7.897
"Jan 21, 2024",4.673
"Jan 22, 2024",15.82
"Jan 23, 2024",0.009
"Jan 24, 2024",0.077
"Jan 25, 2024",0
"Jan 26, 2024",0
"Jan 27, 2024",0
"Jan 28, 2024",0
"Jan 29, 2024",0
"Jan 30, 2024",0
"Jan 31, 2024",7.361
"Feb 1, 2024",22.294
"Feb 2, 2024",0.64
"Feb 3, 2024",1.833
"Feb 4, 2024",64.671
"Feb 5, 2024",29.487
"Feb 6, 2024",12.203
"Feb 7, 2024",10.4
"Feb 8, 2024",0.424
"Feb 9, 2024",0
"Feb 10, 2024",0
"Feb 11, 2024",0
"Feb 12, 2024",0
"Feb 13, 2024",0
"Feb 14, 2024",0.003
"Feb 15, 2024",0.018
"Feb 16, 2024",0
"Feb 17, 2024",1.131
"Feb 18, 2024",9.137
"Feb 19, 2024",20.936
"Feb 20, 2024",13.857
"Feb 21, 2024",0.402
"Feb 22, 2024",0
"Feb 23, 2024",0
"Feb 24, 2024",0
"Feb 25, 2024",0
"Feb 26, 2024",0.543
"Feb 27, 2024",0
"Feb 28, 2024",0
"Feb 29, 2024",0
"Mar 1, 2024",9.74
"Mar 2, 2024",7.678
"Mar 3, 2024",0.479
"Mar 4, 2024",0
"Mar 5, 2024",0
"Mar 6, 2024",12.214
"Mar 7, 2024",0.369
"Mar 8, 2024",0
"Mar 9, 2024",0
"Mar 10, 2024",0
"Mar 11, 2024",0
"Mar 12, 2024",0
"Mar 13, 2024",0
"Mar 14, 2024",0
"Mar 15, 2024",0
"Mar 16, 2024",0
"Mar 17, 2024",0
"Mar 18, 2024",0.424
"Mar 19, 2024",0
"Mar 20, 2024",0
"Mar 21, 2024",0
"Mar 22, 2024",0.408
"Mar 23, 2024",8.903
"Mar 24, 2024",1.49
"Mar 25, 2024",0
"Mar 26, 2024",0
"Mar 27, 2024",0
"Mar 28, 2024",0
"Mar 29, 2024",20.027
"Mar 30, 2024",17.302
"Mar 31, 2024",5.495
"Apr 1, 2024",0
"Apr 2, 2024",0
"Apr 3, 2024",0
"Apr 4, 2024",0.157
"Apr 5, 2024",3.275
"Apr 6, 2024",0
"Apr 7, 2024",0.011
"Apr 8, 2024",0
"Apr 9, 2024",0
"Apr 10, 2024",0
"Apr 11, 2024",0
"Apr 12, 2024",0
"Apr 13, 2024",8.753
"Apr 14, 2024",8.673
"Apr 15, 2024",0.007
"Apr 16, 2024",0
"Apr 17, 2024",0
"Apr 18, 2024",0
"Apr 19, 2024",0
"Apr 20, 2024",0
"Apr 21, 2024",0
"Apr 22, 2024",0
"Apr 23, 2024",0.022
"Apr 24, 2024",0
"Apr 25, 2024",0
"Apr 26, 2024",0.045
"Apr 27, 2024",0
"Apr 28, 2024",0
"Apr 29, 2024",0
"Apr 30, 2024",0
"May 1, 2024",0
"May 2, 2024",0
"May 3, 2024",0
"May 4, 2024",1.689
"May 5, 2024",0
"May 6, 2024",0
"May 7, 2024",0
"May 8, 2024",0
"May 9, 2024",0
"May 10, 2024",0
"May 11, 2024",0
"May 12, 2024",0
"May 13, 2024",0
"May 14, 2024",0
"May 15, 2024",0
"May 16, 2024",0
"May 17, 2024",0
"May 18, 2024",0
"May 19, 2024",0
"May 20, 2024",0
"May 21, 2024",0
"May 22, 2024",0
"May 23, 2024",0
"May 24, 2024",0
"May 25, 2024",0
"May 26, 2024",0
"May 27, 2024",0
"May 28, 2024",0
"May 29, 2024",0
"May 30, 2024",0
"May 31, 2024",0
