system:time_start,soil_moisture_am
"Oct 1, 2023",
"Oct 2, 2023",0.082
"Oct 3, 2023",
"Oct 4, 2023",
"Oct 5, 2023",0.071
"Oct 6, 2023",
"Oct 7, 2023",0.075
"Oct 8, 2023",0.087
"Oct 9, 2023",
"Oct 10, 2023",0.081
"Oct 11, 2023",
"Oct 12, 2023",
"Oct 13, 2023",0.063
"Oct 14, 2023",
"Oct 15, 2023",0.075
"Oct 16, 2023",0.078
"Oct 17, 2023",
"Oct 18, 2023",0.073
"Oct 19, 2023",
"Oct 20, 2023",
"Oct 21, 2023",0.082
"Oct 22, 2023",
"Oct 23, 2023",0.097
"Oct 24, 2023",0.146
"Oct 25, 2023",
"Oct 26, 2023",0.084
"Oct 27, 2023",
"Oct 28, 2023",
"Oct 29, 2023",0.072
"Oct 30, 2023",
"Oct 31, 2023",0.063
"Nov 1, 2023",0.11
"Nov 2, 2023",
"Nov 3, 2023",0.069
"Nov 4, 2023",
"Nov 5, 2023",
"Nov 6, 2023",0.079
"Nov 7, 2023",
"Nov 8, 2023",0.087
"Nov 9, 2023",0.138
"Nov 10, 2023",
"Nov 11, 2023",0.075
"Nov 12, 2023",
"Nov 13, 2023",
"Nov 14, 2023",0.074
"Nov 15, 2023",
"Nov 16, 2023",0.207
"Nov 17, 2023",0.143
"Nov 18, 2023",
"Nov 19, 2023",0.179
"Nov 20, 2023",
"Nov 21, 2023",
"Nov 22, 2023",0.118
"Nov 23, 2023",
"Nov 24, 2023",0.099
"Nov 25, 2023",0.107
"Nov 26, 2023",
"Nov 27, 2023",0.086
"Nov 28, 2023",
"Nov 29, 2023",
"Nov 30, 2023",0.081
"Dec 1, 2023",
"Dec 2, 2023",0.077
"Dec 3, 2023",
"Dec 4, 2023",
"Dec 5, 2023",0.076
"Dec 6, 2023",
"Dec 7, 2023",
"Dec 8, 2023",0.085
"Dec 9, 2023",
"Dec 10, 2023",0.078
"Dec 11, 2023",
"Dec 12, 2023",
"Dec 13, 2023",0.078
"Dec 14, 2023",
"Dec 15, 2023",
"Dec 16, 2023",0.083
"Dec 17, 2023",
"Dec 18, 2023",0.077
"Dec 19, 2023",
"Dec 20, 2023",
"Dec 21, 2023",0.315
"Dec 22, 2023",
"Dec 23, 2023",
"Dec 24, 2023",0.253
"Dec 25, 2023",
"Dec 26, 2023",0.223
"Dec 27, 2023",
"Dec 28, 2023",
"Dec 29, 2023",0.196
"Dec 30, 2023",
"Dec 31, 2023",
"Jan 1, 2024",0.242
"Jan 2, 2024",
"Jan 3, 2024",0.301
"Jan 4, 2024",
"Jan 5, 2024",
"Jan 6, 2024",0.186
"Jan 7, 2024",
"Jan 8, 2024",
"Jan 9, 2024",0.153
"Jan 10, 2024",
"Jan 11, 2024",0.189
"Jan 12, 2024",0.2
"Jan 13, 2024",
"Jan 14, 2024",0.142
"Jan 15, 2024",
"Jan 16, 2024",
"Jan 17, 2024",0.143
"Jan 18, 2024",
"Jan 19, 2024",0.135
"Jan 20, 2024",
"Jan 21, 2024",
"Jan 22, 2024",0.359
"Jan 23, 2024",
"Jan 24, 2024",
"Jan 25, 2024",0.236
"Jan 26, 2024",
"Jan 27, 2024",0.205
"Jan 28, 2024",
"Jan 29, 2024",
"Jan 30, 2024",0.168
"Jan 31, 2024",
"Feb 1, 2024",
"Feb 2, 2024",0.286
"Feb 3, 2024",
"Feb 4, 2024",0.269
"Feb 5, 2024",
"Feb 6, 2024",
"Feb 7, 2024",0.298
"Feb 8, 2024",
"Feb 9, 2024",
"Feb 10, 2024",0.245
"Feb 11, 2024",
"Feb 12, 2024",0.19
"Feb 13, 2024",
"Feb 14, 2024",
"Feb 15, 2024",0.183
"Feb 16, 2024",
"Feb 17, 2024",
"Feb 18, 2024",0.203
"Feb 19, 2024",
"Feb 20, 2024",0.265
"Feb 21, 2024",
"Feb 22, 2024",
"Feb 23, 2024",0.205
"Feb 24, 2024",
"Feb 25, 2024",
"Feb 26, 2024",0.171
"Feb 27, 2024",
"Feb 28, 2024",0.162
"Feb 29, 2024",
"Mar 1, 2024",
"Mar 2, 2024",0.19
"Mar 3, 2024",
"Mar 4, 2024",
"Mar 5, 2024",0.18
"Mar 6, 2024",
"Mar 7, 2024",0.245
"Mar 8, 2024",
"Mar 9, 2024",
"Mar 10, 2024",0.159
"Mar 11, 2024",
"Mar 12, 2024",
"Mar 13, 2024",0.143
"Mar 14, 2024",
"Mar 15, 2024",0.123
"Mar 16, 2024",
"Mar 17, 2024",
"Mar 18, 2024",0.107
"Mar 19, 2024",
"Mar 20, 2024",
"Mar 21, 2024",0.107
"Mar 22, 2024",
"Mar 23, 2024",0.14
"Mar 24, 2024",
"Mar 25, 2024",
"Mar 26, 2024",0.158
"Mar 27, 2024",
"Mar 28, 2024",
"Mar 29, 2024",0.126
"Mar 30, 2024",
"Mar 31, 2024",0.282
"Apr 1, 2024",
"Apr 2, 2024",
"Apr 3, 2024",0.183
"Apr 4, 2024",
"Apr 5, 2024",
"Apr 6, 2024",0.176
"Apr 7, 2024",
"Apr 8, 2024",0.151
"Apr 9, 2024",0.172
"Apr 10, 2024",
"Apr 11, 2024",0.115
"Apr 12, 2024",
"Apr 13, 2024",
"Apr 14, 2024",0.215
"Apr 15, 2024",
"Apr 16, 2024",0.176
"Apr 17, 2024",0.174
"Apr 18, 2024",
"Apr 19, 2024",0.109
"Apr 20, 2024",
"Apr 21, 2024",
"Apr 22, 2024",0.091
"Apr 23, 2024",
"Apr 24, 2024",0.088
"Apr 25, 2024",
"Apr 26, 2024",
"Apr 27, 2024",0.09
"Apr 28, 2024",
"Apr 29, 2024",
"Apr 30, 2024",0.066
"May 1, 2024",
"May 2, 2024",0.063
"May 3, 2024",0.073
"May 4, 2024",
"May 5, 2024",0.128
"May 6, 2024",
"May 7, 2024",
"May 8, 2024",0.062
"May 9, 2024",
"May 10, 2024",0.063
"May 11, 2024",0.105
"May 12, 2024",
"May 13, 2024",0.063
"May 14, 2024",
"May 15, 2024",
"May 16, 2024",0.058
"May 17, 2024",
"May 18, 2024",0.062
"May 19, 2024",
"May 20, 2024",
"May 21, 2024",0.056
"May 22, 2024",
"May 23, 2024",
"May 24, 2024",0.056
"May 25, 2024",
"May 26, 2024",
"May 27, 2024",
"May 28, 2024",
"May 29, 2024",0.06
"May 30, 2024",
"May 31, 2024",
