system:time_start,poppyAreaSqKm
"Oct 1, 2025",0.328
"Oct 2, 2025",0.048
"Oct 4, 2025",0.268
"Oct 4, 2025",0.046
"Oct 7, 2025",0.058
"Oct 9, 2025",0.362
"Oct 12, 2025",0.045
"Oct 17, 2025",0.044
"Oct 21, 2025",0.633
"Oct 22, 2025",0.082
"Oct 24, 2025",0.486
"Oct 24, 2025",0.053
"Oct 29, 2025",0.957
"Nov 1, 2025",0.108
"Nov 3, 2025",0.544
"Nov 8, 2025",1.65
"Nov 10, 2025",0.951
"Nov 23, 2025",0.135
"Nov 26, 2025",0.023
"Nov 28, 2025",0.619
"Dec 1, 2025",0.177
"Dec 3, 2025",0.534
"Dec 3, 2025",0.146
"Dec 6, 2025",0.084
"Dec 8, 2025",4.226
"Dec 11, 2025",0.311
"Dec 13, 2025",0.678
"Dec 16, 2025",0.099
"Dec 20, 2025",1.565
"Dec 28, 2025",0.924
"Jan 9, 2026",0.807
"Jan 10, 2026",0.175
"Jan 12, 2026",0.297
"Jan 15, 2026",0.016
"Jan 27, 2026",1.698
"Jan 30, 2026",0.032
"Feb 1, 2026",0.899
"Feb 4, 2026",0.049
"Feb 4, 2026",0.013
"Feb 21, 2026",1.462
"Feb 21, 2026",2.387
"Feb 24, 2026",0.273
"Feb 24, 2026",0.281
"Feb 26, 2026",5.311
"Mar 1, 2026",0.26
"Mar 8, 2026",18.358
"Mar 10, 2026",17.031
"Mar 11, 2026",2.174
"Mar 13, 2026",18.804
"Mar 16, 2026",0
"Mar 18, 2026",24.922
"Mar 20, 2026",13.524
"Mar 21, 2026",2.08
"Mar 23, 2026",3.236
"Mar 28, 2026",8.04
"Apr 7, 2026",2.831
"Apr 15, 2026",0.418
"Apr 17, 2026",2.583
"Apr 20, 2026",0.311
"Apr 22, 2026",1.658
"Apr 29, 2026",1.856
"Apr 30, 2026",0.487
"May 7, 2026",1.777
